Event.Date,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Amateur.Built,Weather.Condition,Location,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Risk_Score,Make_Model
2000-01-21,Substantial,airplane,MYERS,Q-2,1,Reciprocating,Yes,VMC,"COMPTON, CA",Personal,0,0,1,0,1,MYERS Q-2
2000-02-16,Substantial,airplane,CESSNA,208B,1,Turbo Prop,No,VMC,"MCALESTER, OK",Unknown,1,0,0,1,3,CESSNA 208B
2000-02-16,Destroyed,airplane,CESSNA,182M,1,Reciprocating,No,VMC,"MCALESTER, OK",Personal,1,0,0,1,3,CESSNA 182M
2000-02-16,Destroyed,airplane,DOUGLAS,DC-8-71F,4,Turbo Fan,No,VMC,"RANCHO CORDOVA, CA",,3,0,0,0,9,DOUGLAS DC-8-71F
2000-03-05,Destroyed,airplane,BOEING,737-300,2,Turbo Fan,No,VMC,"BURBANK, CA",Unknown,0,2,42,98,46,BOEING 737-300
2000-04-05,Destroyed,airplane,LEARJET,35A,2,Turbo Fan,No,VMC,"MARIANNA, FL",Instructional,3,0,0,0,9,LEARJET 35A
2000-07-08,Destroyed,airplane,CESSNA,402C,2,Reciprocating,No,VMC,VIEQUES,Unknown,1,0,0,0,3,CESSNA 402C
2000-07-21,Substantial,airplane,STEEL/VANS,RV6,1,Reciprocating,Yes,VMC,"WINNEMUCCA, NV",Personal,0,0,1,0,1,STEEL/VANS RV6
2000-08-08,Substantial,airplane,SCHWEIZER,G-164B,1,Reciprocating,No,VMC,"WALLACE, NE",Aerial Application,0,0,0,1,0,SCHWEIZER G-164B
2000-09-14,Substantial,airplane,CESSNA,208B,1,Turbo Prop,No,VMC,"BELLEVILLE, MI",,0,0,0,1,0,CESSNA 208B
2001-01-07,Substantial,airplane,CESSNA,182A,1,Reciprocating,No,VMC,"PARKTON, NC",Skydiving,0,0,0,1,0,CESSNA 182A
2001-01-14,Destroyed,airplane,LEARJET,LJ-60,2,Turbo Jet,No,VMC,"Troy, AL",Executive/corporate,0,2,0,0,4,LEARJET LJ-60
2001-01-24,Substantial,airplane,CESSNA,T310R,2,Reciprocating,No,VMC,"JEDDAH, SAUDI ARABIA",,0,0,0,1,0,CESSNA T310R
2001-01-24,Destroyed,airplane,BEECH,F90-42,2,Turbo Prop,No,VMC,"Nashville, TN",Business,4,0,0,0,12,BEECH F90-42
2001-02-03,Substantial,airplane,BOEING,B-737-832,2,Turbo Fan,No,VMC,"BOSTON, MA",,0,0,0,135,0,BOEING B-737-832
2001-02-03,Minor,airplane,MCDONNELL DOUGLAS,MD-81,2,Turbo Fan,No,VMC,"Boston, MA",,0,0,0,135,0,MCDONNELL DOUGLAS MD-81
2001-02-06,Substantial,airplane,DASSAULT-BREGUET,MYSTERE FALCON 900,2,Turbo Fan,No,IMC,"PINEDALE, WY",Executive/corporate,0,0,0,8,0,DASSAULT-BREGUET MYSTERE FALCON 900
2001-03-01,Substantial,airplane,MESHKO ZENAIR,CH-701,1,Reciprocating,Yes,VMC,"HUDSON, CO",Personal,0,1,0,0,2,MESHKO ZENAIR CH-701
2001-03-09,Substantial,airplane,CESSNA,P206,1,Reciprocating,No,VMC,"DERBY, KS",Skydiving,0,0,0,1,0,CESSNA P206
2001-03-16,Substantial,airplane,CESSNA,182E,1,Reciprocating,No,VMC,"BOULDER CITY, NV",Skydiving,0,0,1,0,1,CESSNA 182E
2001-03-30,Substantial,airplane,PIPER,PA-24,1,Reciprocating,No,VMC,"CROSS CITY, FL",Personal,0,0,2,0,2,PIPER PA-24
2001-03-30,Destroyed,airplane,CESSNA,210F,1,Reciprocating,No,IMC,"Teslin, Canada",Personal,1,0,0,0,3,CESSNA 210F
2001-03-31,Substantial,airplane,DE HAVILLAND,DHC-3,1,Turbo Prop,No,VMC,"DECATUR, TX",Skydiving,0,5,13,4,23,DE HAVILLAND DHC-3
2001-04-09,Substantial,airplane,HENRY,PELICAN,1,Reciprocating,Yes,VMC,"LAKELAND, FL",Personal,1,1,0,0,5,HENRY PELICAN
2001-04-09,Destroyed,airplane,PIPER,PA-46-500TP,1,Turbo Prop,No,VMC,"Vero Beach, FL",Personal,2,0,0,0,6,PIPER PA-46-500TP
2001-04-18,Substantial,airplane,CESSNA,T310R,2,Reciprocating,No,VMC,"MADINAH, SAUDI ARABIA",Aerial Application,2,0,0,0,6,CESSNA T310R
2001-05-19,Substantial,airplane,BENNETT,GLASTAR,1,Reciprocating,Yes,VMC,"GRASS VALLEY, CA",Personal,0,0,2,0,2,BENNETT GLASTAR
2001-05-27,Minor,airplane,DE HAVILLAND,DHC-6 TWIN OTTER,2,Turbo Prop,No,VMC,"Fentress, TX",Skydiving,1,0,0,22,3,DE HAVILLAND DHC-6 TWIN OTTER
2001-06-03,Substantial,airplane,PIPER,PA-28-181,1,Reciprocating,No,VMC,"LYTLE CREEK, CA",Personal,1,0,0,0,3,PIPER PA-28-181
2001-07-02,Destroyed,airplane,MORAVAN,ZLIN 526F,1,Reciprocating,No,VMC,"Queen Anne, MD",Personal,1,1,0,0,5,MORAVAN ZLIN 526F
2001-07-04,Substantial,airplane,CESSNA,182,1,Reciprocating,No,VMC,"TAYLORVILLE, IL",Skydiving,0,0,0,1,0,CESSNA 182
2001-07-12,Substantial,airplane,TAYLORCRAFT,F21B,1,Reciprocating,No,VMC,"SIMSBURY, CT",Instructional,0,0,0,2,0,TAYLORCRAFT F21B
2001-07-26,Destroyed,airplane,SCHUCHART,STODDARD HAMILTONSH3,1,Reciprocating,Yes,VMC,"Oshkosh, WI",Personal,1,0,0,0,3,SCHUCHART STODDARD HAMILTONSH3
2001-07-28,Substantial,airplane,CESSNA,182B,1,Reciprocating,No,VMC,"HEADLAND, AL",Skydiving,0,0,0,1,0,CESSNA 182B
2001-08-14,Substantial,airplane,CESSNA,150,1,Reciprocating,No,VMC,"MCGAHEYSVILLE, VA",Instructional,2,0,0,0,6,CESSNA 150
2001-08-18,Substantial,airplane,CESSNA,182A,1,Reciprocating,No,VMC,"SALADO, TX",Skydiving,0,0,0,5,0,CESSNA 182A
2001-09-25,Substantial,airplane,PIPER,PA-32RT-300T,1,Reciprocating,No,VMC,"MEDINA, OH",Personal,0,1,0,0,2,PIPER PA-32RT-300T
2001-10-06,Substantial,airplane,CESSNA,182A,1,Reciprocating,No,VMC,"CHICKASHA, OK",Skydiving,0,0,1,1,1,CESSNA 182A
2001-10-10,Destroyed,airplane,EDGE,540,1,Reciprocating,Yes,VMC,"SAN JUAN CAPIST, CA",Personal,1,0,0,0,3,EDGE 540
2001-10-27,Substantial,airplane,THOMSON,HARMON ROCKET II,1,Reciprocating,Yes,VMC,"PERRIS, CA",Personal,0,0,0,2,0,THOMSON HARMON ROCKET II
2001-10-28,Destroyed,airplane,"RANS, INC.",S-6,1,Reciprocating,Yes,VMC,"Wyatte, MS",Personal,2,0,0,0,6,"RANS, INC. S-6"
2001-11-12,Destroyed,airplane,PIPER,PA-31T1,2,Turbo Prop,No,IMC,"Graham, TX",Executive/corporate,4,0,0,0,12,PIPER PA-31T1
2001-12-30,Substantial,airplane,PIPER,PA-28R-180,1,Reciprocating,No,VMC,"MILFORD, CT",Personal,1,0,0,0,3,PIPER PA-28R-180
2002-01-08,Substantial,airplane,SWEARINGEN,SA-227-AT,2,Turbo Prop,No,VMC,"COVINGTON, KY",,0,0,1,0,1,SWEARINGEN SA-227-AT
2002-01-10,Substantial,airplane,PIPER,PA-46T,1,Turbo Prop,No,IMC,"ALBUQUERQUE, NM",Personal,0,0,0,2,0,PIPER PA-46T
2002-01-15,Substantial,airplane,CESSNA,172,1,Reciprocating,No,VMC,"IRAAN, TX",Personal,0,0,0,1,0,CESSNA 172
2002-02-17,Substantial,airplane,CESSNA,172N,1,Reciprocating,No,VMC,"DURANGO, CO",Instructional,0,0,0,1,0,CESSNA 172N
2002-03-24,Substantial,airplane,CESSNA,188,1,Reciprocating,No,VMC,"FORREST CITY, AR",Aerial Application,0,0,0,1,0,CESSNA 188
2002-04-03,Substantial,airplane,CESSNA,T310R,2,Reciprocating,No,VMC,"MOUNT HOLLY, NJ",Personal,0,1,1,0,3,CESSNA T310R
2002-04-13,Substantial,airplane,CESSNA,182A,1,Reciprocating,No,VMC,"CONWAY, AR",Skydiving,0,1,0,4,2,CESSNA 182A
2002-05-31,Substantial,airplane,ERCOUPE,ERCO-415-E,1,Reciprocating,No,VMC,"CONWAY, AR",Personal,0,0,0,2,0,ERCOUPE ERCO-415-E
2002-06-02,Substantial,airplane,WACO,ASO,1,Reciprocating,No,VMC,"GOODLAND, KS",Personal,0,0,0,2,0,WACO ASO
2002-06-16,Substantial,airplane,MCDONNELL DOUGLAS,DC-9-82,2,Turbo Fan,No,VMC,"KANSAS CITY, MO",,0,0,0,123,0,MCDONNELL DOUGLAS DC-9-82
2002-06-30,Substantial,airplane,GRENIER,ACRO SPORT,1,Reciprocating,No,VMC,"JACKSONVILLE, IL",Personal,0,0,0,1,0,GRENIER ACRO SPORT
2002-07-04,Substantial,airplane,BEECH,A-23-23,1,Reciprocating,No,VMC,"MONROE, MI",Personal,0,0,0,1,0,BEECH A-23-23
2002-07-07,Substantial,airplane,PIPER,PA-34,2,Reciprocating,No,VMC,"LOWELL, MI",Personal,0,0,0,1,0,PIPER PA-34
2002-07-09,Substantial,airplane,PIPER,PA-J3-C65,1,Reciprocating,No,VMC,"SPARTA, IL",Instructional,0,0,0,2,0,PIPER PA-J3-C65
2002-07-13,Substantial,airplane,GULFSTREAM AMERICAN,AA-5B,1,Reciprocating,No,VMC,"SPICEWOOD, TX",Personal,0,0,0,1,0,GULFSTREAM AMERICAN AA-5B
2002-07-13,Substantial,airplane,AERO COMMANDER,CALLAIR A-9B,1,Reciprocating,No,VMC,"EL PASO, TX",Other Work Use,0,1,0,0,2,AERO COMMANDER CALLAIR A-9B
2002-07-13,Substantial,airplane,BAUGHMAN,KR-2,1,Reciprocating,Yes,VMC,"SCRIBNER, NE",Personal,0,0,0,1,0,BAUGHMAN KR-2
2002-07-13,Substantial,airplane,CESSNA,150H,1,Reciprocating,No,VMC,"MECOSTA, MI",Personal,0,0,0,2,0,CESSNA 150H
2002-07-16,Substantial,airplane,CESSNA,188B,1,Reciprocating,No,VMC,"TOLLEY, ND",Aerial Application,0,0,0,1,0,CESSNA 188B
2002-07-17,Substantial,airplane,GRUMMAN,G-164,1,Reciprocating,No,VMC,"BROWNING, IL",Aerial Application,0,0,0,1,0,GRUMMAN G-164
2002-07-18,Substantial,airplane,CESSNA,172N,1,Reciprocating,No,VMC,"SPEARFISH, SD",Instructional,0,0,0,1,0,CESSNA 172N
2002-07-19,Substantial,airplane,BILGRI,SONERAI II LTS,1,Reciprocating,Yes,VMC,"JUNEAU, WI",Personal,0,0,1,0,1,BILGRI SONERAI II LTS
2002-07-19,Substantial,airplane,ECKSTEIN,RV-6A,1,Reciprocating,Yes,VMC,"MATTAWAN, MI",Personal,0,0,2,0,2,ECKSTEIN RV-6A
2002-07-20,Substantial,airplane,CESSNA,182A,1,Reciprocating,No,VMC,"LARETTO, MN",Personal,0,0,0,3,0,CESSNA 182A
2002-07-26,Substantial,airplane,AIR TRACTOR,AT-301,1,Reciprocating,No,VMC,"MALTA, IL",Aerial Application,0,0,1,0,1,AIR TRACTOR AT-301
2002-08-01,Substantial,airplane,GIROUX,AIR CAM,2,Reciprocating,Yes,VMC,"OZAWKIE, KS",Personal,0,0,0,2,0,GIROUX AIR CAM
2002-08-01,Destroyed,airplane,GRUMMAN AMERICAN,AA-5B,1,Reciprocating,No,VMC,"Marietta, PA",Personal,4,0,0,0,12,GRUMMAN AMERICAN AA-5B
2002-08-03,Substantial,airplane,CRAWFORD,WIDEBODY LONG EZ,1,Reciprocating,Yes,VMC,"MARTHA'S VINEYARD, MA",Public Aircraft,1,0,0,0,3,CRAWFORD WIDEBODY LONG EZ
2002-08-14,Substantial,airplane,PIPER,PA-25-235,1,Reciprocating,No,VMC,"RAY, ND",Aerial Application,0,0,0,1,0,PIPER PA-25-235
2002-08-17,Substantial,airplane,BELLANCA,BL-17-30A,1,Reciprocating,No,VMC,"OHIAWA, NE",Personal,0,0,0,1,0,BELLANCA BL-17-30A
2002-08-27,Substantial,airplane,CESSNA,A185F,1,Reciprocating,No,VMC,"KODIAK, AK",,2,2,0,0,10,CESSNA A185F
2002-08-31,Substantial,airplane,TOMASH,AVID FLYER,1,Reciprocating,Yes,VMC,"CAMP LAKE, WI",Personal,0,0,0,1,0,TOMASH AVID FLYER
2002-09-02,Destroyed,airplane,BEECHCRAFT,58P,2,Reciprocating,No,VMC,"Swanzey, NH",Personal,7,0,0,0,21,BEECHCRAFT 58P
2002-09-04,Substantial,airplane,PIPER,PA-28-161,1,Reciprocating,No,VMC,"GRAHAM, TX",Instructional,0,0,0,1,0,PIPER PA-28-161
2002-09-15,Substantial,airplane,ERCOUPE (ENG & RESEARCH CORP.),415-CD,1,Reciprocating,No,VMC,"EFFINGHAM, IL",Positioning,0,0,0,2,0,ERCOUPE (ENG & RESEARCH CORP.) 415-CD
2002-09-17,Substantial,airplane,CESSNA,150G,1,Reciprocating,No,VMC,"DODGE CENTER, MN",Personal,0,0,0,1,0,CESSNA 150G
2002-09-21,Substantial,airplane,AVIAT,A-1,1,Reciprocating,No,VMC,"CHERRY POINT, NC",Personal,0,0,0,2,0,AVIAT A-1
2002-09-25,Substantial,airplane,CESSNA,188B,1,Reciprocating,No,VMC,"PIKESVILLE, NC",Aerial Application,0,0,1,0,1,CESSNA 188B
2002-09-28,Destroyed,airplane,CESSNA,182,1,Reciprocating,No,VMC,"Estacada, OR",Skydiving,0,0,0,5,0,CESSNA 182
2002-09-30,Destroyed,airplane,MOONEY,M20E,1,Reciprocating,No,VMC,"West Creek, NJ",Personal,1,0,0,0,3,MOONEY M20E
2002-10-05,Substantial,airplane,CESSNA,182E,1,Reciprocating,No,VMC,"OSLO, MN",Personal,0,0,0,2,0,CESSNA 182E
2002-10-14,Substantial,airplane,DE HAVILLAND,DHC-8-102,2,Turbo Prop,No,VMC,"ALBANY, NY",,0,0,0,33,0,DE HAVILLAND DHC-8-102
2002-10-20,Substantial,airplane,CESSNA,180,1,Reciprocating,No,VMC,"WASILLA, AK",Personal,0,0,0,1,0,CESSNA 180
2002-10-25,Substantial,airplane,CESSNA,180,1,Reciprocating,No,VMC,"ANCHORAGE, AK",Personal,0,0,0,1,0,CESSNA 180
2002-10-29,Destroyed,airplane,PIPER,PA-22,1,Reciprocating,No,VMC,"Palmer, AK",Personal,0,0,0,3,0,PIPER PA-22
2002-11-17,Substantial,airplane,TAYLORCRAFT,BC12-D,1,Reciprocating,No,VMC,"ALBION, MI",Personal,0,0,1,1,1,TAYLORCRAFT BC12-D
2002-12-02,Substantial,airplane,CONSOLIDATED AERONAUTICS INC.,LA-4-200,1,Reciprocating,No,VMC,"BLOUNTSTOWN, FL",Instructional,0,0,0,2,0,CONSOLIDATED AERONAUTICS INC. LA-4-200
2002-12-04,Destroyed,airplane,CESSNA,402C,2,Turbo Prop,No,IMC,"Lewisville, TX",Positioning,1,0,0,0,3,CESSNA 402C
2002-12-08,Substantial,airplane,PIPER,PA38,1,Reciprocating,No,VMC,"PENSACOLA, FL",Instructional,0,0,0,1,0,PIPER PA38
2002-12-13,Substantial,airplane,PIPER,PA-601P,2,Reciprocating,No,IMC,"MANASSAS, VA",Personal,0,0,0,1,0,PIPER PA-601P
2002-12-16,Substantial,airplane,CESSNA,A150M,1,Reciprocating,No,VMC,"CRYSTAL RIVER, FL",Instructional,0,0,0,1,0,CESSNA A150M
2002-12-25,Substantial,airplane,CESSNA,208B,1,Turbo Prop,No,IMC,"MANTEO, NC",Positioning,1,0,0,0,3,CESSNA 208B
2002-12-26,Substantial,airplane,PIPER,PA-30,2,Reciprocating,No,VMC,"TALLAHASSEE, FL",Personal,0,0,0,1,0,PIPER PA-30
2003-01-08,Substantial,airplane,CARLISLE,COMP AIR 6,1,Reciprocating,Yes,VMC,"GROESBECK, TX",Personal,0,0,0,1,0,CARLISLE COMP AIR 6
2003-01-11,Substantial,airplane,CESSNA,150K,1,Reciprocating,No,VMC,"EVERGLADES CITY, FL",Instructional,0,1,1,0,3,CESSNA 150K
2003-01-24,Destroyed,airplane,CESSNA,208B,1,Turbo Prop,No,VMC,"San Angelo, TX",Instructional,0,2,0,0,4,CESSNA 208B
2003-01-26,Substantial,airplane,CESSNA,182R,1,Reciprocating,No,VMC,"EVERGLADES CITY, FL",Instructional,0,0,0,2,0,CESSNA 182R
2003-02-13,Destroyed,airplane,CESSNA,208,1,Turbo Prop,No,VMC,"Caqueta Province, Colombia",Public Aircraft - Federal,0,0,3,0,3,CESSNA 208
2003-03-03,Substantial,airplane,AERO COMMANDER,690A,2,Turbo Prop,No,VMC,"TRACY, CA",Business,0,1,0,3,2,AERO COMMANDER 690A
2003-03-21,Destroyed,airplane,CESSNA,172S,1,Reciprocating,No,VMC,"Monroe, GA",Instructional,2,0,0,0,6,CESSNA 172S
2003-03-27,Substantial,airplane,MAULE,M-5-235C,1,Reciprocating,No,VMC,"JAY, FL",Personal,0,0,0,1,0,MAULE M-5-235C
2003-03-27,Substantial,airplane,CESSNA,172S,1,Reciprocating,No,VMC,"CLEVELAND, OH",Instructional,0,0,0,1,0,CESSNA 172S
2003-03-31,Substantial,airplane,CESSNA,190,1,Reciprocating,No,VMC,"LAKELAND, FL",Personal,0,0,0,4,0,CESSNA 190
2003-04-01,Substantial,airplane,MATHEWS,PEGAZAI,1,Reciprocating,Yes,VMC,"LAKELAND, FL",Personal,0,0,1,0,1,MATHEWS PEGAZAI
2003-04-01,Minor,airplane,CESSNA,182P,1,Reciprocating,No,VMC,"Eufaula, AL",Personal,0,0,0,3,0,CESSNA 182P
2003-04-04,Substantial,airplane,BOEING,A75N1,1,Reciprocating,No,VMC,"LAKELAND, FL",Air Race/show,0,0,0,2,0,BOEING A75N1
2003-04-11,Substantial,airplane,LARRY WOODS,VENTURE,1,Reciprocating,Yes,VMC,"FORT PAYNE, AL",Personal,0,0,0,1,0,LARRY WOODS VENTURE
2003-04-13,Substantial,airplane,CESSNA,152,1,Reciprocating,No,VMC,"OLIVE BRANCH, MS",Instructional,0,0,0,2,0,CESSNA 152
2003-04-24,Substantial,airplane,SOCATA,TBM 700B,1,Turbo Prop,No,VMC,"MOBILE, AL",Executive/corporate,1,0,0,0,3,SOCATA TBM 700B
2003-05-03,Substantial,airplane,PIPER,PA-22-150,1,Reciprocating,No,VMC,"MADISON, MS",Personal,0,0,0,1,0,PIPER PA-22-150
2003-05-13,Substantial,airplane,WSK PZL MIELEC,M-18A,1,Turbo Prop,No,VMC,"BAXTERVILLE, MS",Aerial Application,0,0,0,1,0,WSK PZL MIELEC M-18A
2003-05-27,Substantial,airplane,CESSNA,120,1,Reciprocating,No,VMC,"PLANT CITY, FL",Personal,0,0,1,0,1,CESSNA 120
2003-05-30,Substantial,airplane,BEECH,95-B55,2,Reciprocating,No,VMC,"FOREST, MS",Personal,0,0,0,2,0,BEECH 95-B55
2003-06-11,Substantial,airplane,AYERS,RV-6A,1,Reciprocating,Yes,VMC,"ST. SIMONS ISLD, GA",Personal,0,0,1,0,1,AYERS RV-6A
2003-06-12,Substantial,airplane,MOONEY,M20J,1,Reciprocating,No,VMC,"LINCOLN, CA",Personal,0,0,0,1,0,MOONEY M20J
2003-06-13,Substantial,airplane,BOEING,A75N1(PT17),1,Reciprocating,No,VMC,"SUTTON, WV",Personal,0,0,2,0,2,BOEING A75N1(PT17)
2003-06-13,Substantial,airplane,PIPER,PA-46-500TP,1,Turbo Prop,No,VMC,"SANTA FE, NM",Personal,0,0,0,3,0,PIPER PA-46-500TP
2003-06-14,Substantial,airplane,PIPER,PA-18,1,Reciprocating,No,VMC,"SILVER CITY, MT",Personal,0,0,0,2,0,PIPER PA-18
2003-06-14,Substantial,airplane,KOLB COMPANY,MKIII,1,Reciprocating,Yes,VMC,"BUNNELL, FL",Flight Test,0,0,1,0,1,KOLB COMPANY MKIII
2003-06-17,Destroyed,airplane,CESSNA,182Q,1,Reciprocating,No,VMC,"Deerfield Beach, FL",Personal,5,0,0,0,15,CESSNA 182Q
2003-06-17,Destroyed,airplane,CESSNA,172N,1,Reciprocating,No,VMC,"Deerfield Beach, FL",Personal,5,0,0,0,15,CESSNA 172N
2003-06-18,Substantial,airplane,CESSNA,172S,1,Reciprocating,No,VMC,"MELBOURNE, FL",Personal,0,0,0,1,0,CESSNA 172S
2003-06-19,Substantial,airplane,CESSNA,177,1,Reciprocating,No,VMC,"WOODLAND, WA",Personal,0,0,0,2,0,CESSNA 177
2003-06-21,Substantial,airplane,PIPER,SARATOGA II TC PA32-,1,Reciprocating,No,VMC,"MANSFIELD, OH",Personal,0,0,0,3,0,PIPER SARATOGA II TC PA32-
2003-06-21,Destroyed,airplane,CESSNA,182H,1,Reciprocating,No,VMC,"Cushing, OK",Skydiving,1,2,2,1,9,CESSNA 182H
2003-06-22,Substantial,airplane,CESSNA,172K,1,Reciprocating,No,VMC,"OVERTON, NV",Instructional,0,0,0,3,0,CESSNA 172K
2003-06-22,Substantial,airplane,MAULE,M-5-235C,1,Reciprocating,No,VMC,"ROCKVALE, TN",Personal,3,0,0,0,9,MAULE M-5-235C
2003-06-25,Substantial,airplane,DE HAVILLAND,DHC-2,1,Reciprocating,No,VMC,"ILIAMNA, AK",Business,0,0,0,1,0,DE HAVILLAND DHC-2
2003-06-26,Substantial,airplane,AIR TRACTOR,402A,1,Turbo Prop,No,VMC,"PEARISBURG, VA",Aerial Application,0,0,0,1,0,AIR TRACTOR 402A
2003-06-27,Substantial,airplane,CESSNA,P206,1,Reciprocating,No,VMC,"GOODING, ID",Personal,0,0,0,4,0,CESSNA P206
2003-06-28,Substantial,airplane,BELLANCA,7GCBC,1,Reciprocating,No,VMC,"ATLANTIC CITY, NJ",Other Work Use,0,0,1,0,1,BELLANCA 7GCBC
2003-06-28,Substantial,airplane,SCHWEIZER,G-164B,1,Reciprocating,No,VMC,"VEGA, TX",Aerial Application,0,0,0,1,0,SCHWEIZER G-164B
2003-06-30,Substantial,airplane,STINSON,108-3,1,Reciprocating,No,VMC,"ST. JOHNS, AZ",Personal,0,0,0,1,0,STINSON 108-3
2003-07-03,Substantial,airplane,BEECH,BE36,1,Reciprocating,No,IMC,"BLOCK ISLAND, RI",Personal,0,0,0,4,0,BEECH BE36
2003-07-04,Substantial,airplane,BEECH,A36TC,1,Turbo Prop,No,VMC,"EAST WENATCHEE, WA",Personal,1,1,1,0,6,BEECH A36TC
2003-07-06,Substantial,airplane,MAULE,MX-7-235,1,Reciprocating,No,VMC,"EAST BRADY, PA",Personal,0,0,1,0,1,MAULE MX-7-235
2003-07-10,Substantial,airplane,CESSNA,172S,1,Reciprocating,No,VMC,"PHOENIX, AZ",Instructional,0,0,0,1,0,CESSNA 172S
2003-07-12,Substantial,airplane,MOONEY,M20C,1,Reciprocating,No,VMC,"UTICA, OH",Personal,0,0,1,0,1,MOONEY M20C
2003-07-12,Substantial,airplane,PIPER,PA-18,1,Reciprocating,No,VMC,"TALKEETNA, AK",Personal,0,0,0,1,0,PIPER PA-18
2003-07-13,Substantial,airplane,MAYSMIKE,PITTS S1S,1,Reciprocating,Yes,VMC,"LIVERMORE, CA",Personal,0,0,0,1,0,MAYSMIKE PITTS S1S
2003-07-15,Substantial,airplane,DIAMOND AIRCRAFT INDUSTRIES,DA20-C1 KATANA,1,Reciprocating,No,VMC,"HILLSBORO, TX",Personal,0,0,0,2,0,DIAMOND AIRCRAFT INDUSTRIES DA20-C1 KATANA
2003-07-16,Substantial,airplane,BEECH,F90,2,Turbo Prop,No,VMC,"SUNRIVER, OR",Personal,0,0,0,1,0,BEECH F90
2003-07-17,Substantial,airplane,CESSNA,R172K,1,Reciprocating,No,VMC,"IDAHO FALLS, ID",Personal,0,0,0,1,0,CESSNA R172K
2003-07-17,Substantial,airplane,PIPER,PA-18,1,Reciprocating,No,VMC,"TALKEETNA, AK",Personal,0,0,0,2,0,PIPER PA-18
2003-07-20,Substantial,airplane,WSK PZL MIELEC,PZL-M-18,1,Turbo Prop,No,VMC,"BURLEY, ID",Personal,0,0,1,0,1,WSK PZL MIELEC PZL-M-18
2003-07-20,Substantial,airplane,CESSNA,172N,1,Reciprocating,No,VMC,"LIVERMORE, CA",Personal,0,0,0,1,0,CESSNA 172N
2003-07-21,Substantial,airplane,CESSNA,140,1,Reciprocating,No,VMC,"ANCHORAGE, AK",Personal,0,0,0,2,0,CESSNA 140
2003-07-25,Substantial,airplane,CESSNA,172P,1,Reciprocating,No,VMC,"PLAINFIELD, CT",Instructional,0,0,0,1,0,CESSNA 172P
2003-07-25,Substantial,airplane,AIRCRAFT MFG & DEV. CO. (AMD),CH2T,1,Reciprocating,No,VMC,"CRYSTAL RIVER, FL",Instructional,0,0,0,1,0,AIRCRAFT MFG & DEV. CO. (AMD) CH2T
2003-07-25,Substantial,airplane,CESSNA,172S,1,Reciprocating,No,VMC,"OLIVE BRANCH, MS",Instructional,0,0,0,1,0,CESSNA 172S
2003-07-25,Destroyed,airplane,AERO COMMANDER,100,1,Reciprocating,No,VMC,"Fulton, KY",Personal,0,0,2,0,2,AERO COMMANDER 100
2003-07-26,Substantial,airplane,LANCAIR,235,1,Reciprocating,Yes,VMC,"PAGE, AZ",Personal,0,0,0,1,0,LANCAIR 235
2003-07-27,Substantial,airplane,CESSNA,170B,1,Reciprocating,No,VMC,"SCHAFER, MT",Personal,0,0,2,1,2,CESSNA 170B
2003-07-31,Substantial,airplane,CESSNA,180,1,Reciprocating,No,VMC,"ST. JOHNS, AZ",Unknown,0,0,0,1,0,CESSNA 180
2003-07-31,Substantial,airplane,TAYLORCRAFT,F-19,1,Reciprocating,No,VMC,"ANIAK, AK",Personal,0,0,0,1,0,TAYLORCRAFT F-19
2003-08-06,Substantial,airplane,PIPER,PA-18,1,Reciprocating,No,VMC,"SEWARD, AK",Personal,0,0,0,1,0,PIPER PA-18
2003-08-06,Substantial,airplane,CESSNA,185,1,Reciprocating,No,VMC,"ILIAMNA, AK",Personal,0,0,0,3,0,CESSNA 185
2003-08-07,Substantial,airplane,CESSNA,172S,1,Reciprocating,No,VMC,"ORLANDO, FL",Personal,0,0,0,1,0,CESSNA 172S
2003-08-13,Substantial,airplane,CESSNA,170B,1,Reciprocating,No,VMC,"LA BELLE, FL",Personal,0,0,0,1,0,CESSNA 170B
2003-08-13,Substantial,airplane,CESSNA,206,1,Reciprocating,No,VMC,"KETCHIKAN, AK",,0,0,0,4,0,CESSNA 206
2003-08-16,Substantial,airplane,CESSNA,172RG,1,Reciprocating,No,VMC,"GLENS FALLS, NY",Personal,0,0,0,3,0,CESSNA 172RG
2003-08-18,Substantial,airplane,CESSNA,210D,1,Reciprocating,No,VMC,"SAN ANTONIO, TX",Personal,0,0,0,1,0,CESSNA 210D
2003-08-18,Substantial,airplane,CESSNA,170B,1,Reciprocating,No,VMC,"SPARREVOHN, AK",Personal,0,0,0,2,0,CESSNA 170B
2003-08-19,Substantial,airplane,CESSNA,172,1,Reciprocating,No,VMC,"CLEVELAND, OH",Personal,0,0,0,2,0,CESSNA 172
2003-08-22,Substantial,airplane,CESSNA,150C,1,Reciprocating,No,VMC,"TUCSON, AZ",Personal,0,0,0,2,0,CESSNA 150C
2003-08-22,Substantial,airplane,CESSNA,195,1,Reciprocating,No,VMC,"SAND SPRINGS, OK",Personal,0,0,0,1,0,CESSNA 195
2003-08-23,Substantial,airplane,KUCKLICK,HIPERBIPE,1,Reciprocating,Yes,VMC,"MARION, OH",Personal,0,0,0,2,0,KUCKLICK HIPERBIPE
