Event.Date,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Amateur.Built,Weather.Condition,Location,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Risk_Score,Make_Model
2010-05-21,Substantial,airplane,LUSCOMBE SILVAIRE AIRCRAFT CO.,S-LSA-8C,1,Reciprocating,No,VMC,"Bakersfield, CA",Personal,0,0,2,0,2,LUSCOMBE SILVAIRE AIRCRAFT CO. S-LSA-8C
2010-05-21,Substantial,airplane,SCHWEIZER AIRCRAFT CORP,G-164B,1,Turbo Prop,No,VMC,"Robbins, CA",Aerial Application,0,0,1,0,1,SCHWEIZER AIRCRAFT CORP G-164B
2010-05-21,Substantial,airplane,AYRES CORPORATION,S2R-R1340,1,Turbo Prop,No,VMC,"Roe, AR",Aerial Application,0,0,0,1,0,AYRES CORPORATION S2R-R1340
2010-05-21,Destroyed,airplane,CESSNA,182,1,Reciprocating,No,VMC,"Rio Negro, Bolivar, Venezuela",Instructional,2,0,0,0,6,CESSNA 182
2010-05-22,Substantial,airplane,BOEING,B75,1,Reciprocating,No,VMC,"Yerington, NV",Personal,0,0,0,1,0,BOEING B75
2010-05-22,Substantial,airplane,CESSNA,172P,1,Reciprocating,No,VMC,"Las Vegas, NV",Personal,0,0,0,1,0,CESSNA 172P
2010-05-22,Substantial,airplane,PZL MIELEC,M18,1,Reciprocating,No,VMC,"Lake Placid, FL",Aerial Application,0,0,0,1,0,PZL MIELEC M18
2010-05-22,Substantial,airplane,SOCATA,TB-20,1,Reciprocating,No,VMC,"Happy Camp, CA",Personal,1,0,0,0,3,SOCATA TB-20
2010-05-22,Substantial,airplane,PIPER,PA-12,1,Reciprocating,No,VMC,"Chugiak, AK",Personal,0,0,0,3,0,PIPER PA-12
2010-05-22,Substantial,airplane,CESSNA,P210N,1,Reciprocating,No,VMC,"Petaluma, CA",Personal,0,0,0,1,0,CESSNA P210N
